iter,group,kind,n_total,n_mask,alpha_med,alpha_q25,alpha_q75,alpha_powerlaw,r2_powerlaw,alpha_tempered,lambda_tempered,r2_tempered,dr2_tempered_minus_powerlaw
0,all,noise,200000,49,1.0999892015454091,0.9270608896875864,1.4781872168405448,1.3841512279901413,0.962018489409947,0.6163235609909313,0.001075001818773282,0.9999584371107592,0.037939947700812104
0,all,delta,200000,49,1.092818466149633,0.9239165599223302,1.4630872957649834,1.3860995858662588,0.9598438120463235,0.580220817113752,0.0014853492794570673,0.9999815789829721,0.04013776693664861
0,decay,noise,200000,49,1.0791782986722627,0.9166505318370679,1.4866411340747625,1.3866126425338274,0.9569079670816785,0.5453901852866709,0.000978099962032057,0.999972680002344,0.04306471292066549
0,decay,delta,200000,49,1.0937311631310949,0.9316563131227626,1.5041501948086924,1.3969543291302082,0.9594317005852804,0.5787374865045174,0.0014641206630532832,0.9999800572269449,0.04054835664166456
0,embed,noise,200000,49,0.6930940025336839,0.6296574111975664,0.7103926590727121,0.7804304372505635,0.9519129349770957,0.46481582130188687,0.00023990146478439242,0.9965426371412957,0.044629702164199925
0,embed,delta,200000,49,0.8966157338467609,0.42168315981862425,1.1541637996608514,0.4718433164321449,0.8470532783154022,0.17646139335583522,0.0002423248201244015,0.9826795538590688,0.13562627554366657
0,no_decay,noise,200000,49,1.9925483276127718,1.7218157457803707,2.480308908749927,2.3688799479564335,0.9825619495607706,1.0109910060158986,0.00023672153475456917,0.9995077147130084,0.01694576515223778
0,no_decay,delta,200000,49,2.0564066336561044,1.725599843536448,2.5464260752963006,2.420321082086669,0.9815681949851396,0.9417916617358635,0.00031156478959294025,0.9996558813586502,0.01808768637351066
0,norm,noise,200000,49,2.0164160511408316,1.716004620494195,2.4747584837343464,2.360479045698093,0.9834247480878541,1.0528694856297918,0.0002460933043715599,0.9995311127531628,0.01610636466530868
0,norm,delta,200000,49,2.0051429098998286,1.7645645973227833,2.4919927958018704,2.3965233266311188,0.9813418327231489,0.9159437795722093,0.00031192079206380466,0.9998106688106855,0.018468836087536578
100,all,noise,200000,49,0.9962409752688353,0.9371995850689181,1.0965597786744528,1.1084145462541062,0.9917375544637304,0.9079144306460816,0.00031843954099967795,0.9999394150681853,0.008201860604454936
100,all,delta,200000,49,0.8865611450634776,0.8419922909553055,1.0241358223558488,1.0346022977298601,0.9847360114893545,0.7857792022371548,0.00035330772550286544,0.9999471392069051,0.015211127717550621
100,decay,noise,200000,49,0.9924398863914015,0.9376793579870473,1.097678125634849,1.1100067245146992,0.9914989168578789,0.9062750816582517,0.00031532510476503365,0.9999535305094104,0.00845461365153144
100,decay,delta,200000,49,0.8669562314924788,0.8358777427053234,1.023085542189485,1.0312653674452976,0.9838610128890556,0.777707272980589,0.00035429955629220244,0.9998988629659091,0.016037850076853544
100,embed,noise,200000,49,0.6463218428038124,0.6436598011275487,0.7874921652267359,0.8155074242703111,0.9534127171695356,0.48594716098470164,0.00022533776068796156,0.9986812773595413,0.04526856019000569
100,embed,delta,200000,49,0.45266445691166635,0.29348744181279873,0.8093343541615711,0.4140950535261555,0.8256783128227858,0.16054215170471584,0.0002245570250308779,0.9904679345854394,0.16478962176265355
100,no_decay,noise,200000,49,0.7109647807471646,0.6703830973218352,1.002184153698447,0.9275846842050731,0.9473260159205423,0.4828272367943813,0.0002731469982005739,0.9996136247545028,0.05228760883396044
100,no_decay,delta,200000,49,0.7182855582217194,0.6847290543758662,0.9784864314973216,0.9289872862381504,0.9488653683201105,0.4863095523380652,0.00040016656038283885,0.9994932796255296,0.050627911305419104
100,norm,noise,200000,49,0.7073238890482338,0.6852758958680034,0.9655754558208718,0.9298136490325976,0.9491746199507684,0.48609878097008086,0.0002726903710075141,0.9994547940107323,0.05028017405996399
100,norm,delta,200000,49,0.7323210904557035,0.6878668144707734,0.9947066682768633,0.9287597175294809,0.9508593254284696,0.49918104955585946,0.00041041687153137353,0.9995343883129593,0.04867506288448964
